date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:17:51	11032/11032	---M--	200	added ('OK')	text/html	date:Tue,%2019%20Jan%202021%2006:52:26%20GMT	http://tangfreelancer.com/ae_official/contact-us.html	C:/Users/Better.Chou/Documents/web1/web1/tangfreelancer.com/ae_official/contact-us.html	(from )
17:17:51	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2020%20Jan%202021%2009:17:50%20GMT	http://tangfreelancer.com/robots.txt		(from )
17:17:52	121260/121260	---M--	200	added ('OK')	text/css	date:Tue,%2019%20Jan%202021%2007:18:26%20GMT	http://tangfreelancer.com/ae_official/css/vendor/bootstrap.min.css	C:/Users/Better.Chou/Documents/web1/web1/tangfreelancer.com/ae_official/css/vendor/bootstrap.min.css	(from http://tangfreelancer.com/ae_official/contact-us.html)
17:17:53	28741/28741	---M--	200	added ('OK')	text/css	date:Tue,%2019%20Jan%202021%2007:18:26%20GMT	http://tangfreelancer.com/ae_official/css/vendor/aos.css	C:/Users/Better.Chou/Documents/web1/web1/tangfreelancer.com/ae_official/css/vendor/aos.css	(from http://tangfreelancer.com/ae_official/contact-us.html)
17:17:54	3383/3383	---M--	200	added ('OK')	text/css	date:Tue,%2019%20Jan%202021%2007:18:26%20GMT	http://tangfreelancer.com/ae_official/css/vendor/lity.min.css	C:/Users/Better.Chou/Documents/web1/web1/tangfreelancer.com/ae_official/css/vendor/lity.min.css	(from http://tangfreelancer.com/ae_official/contact-us.html)
17:17:56	18932/18932	---M--	200	added ('OK')	text/html	date:Tue,%2019%20Jan%202021%2006:52:26%20GMT	http://tangfreelancer.com/ae_official/index.html	C:/Users/Better.Chou/Documents/web1/web1/tangfreelancer.com/ae_official/index.html	(from http://tangfreelancer.com/ae_official/contact-us.html)
17:17:56	184317/184317	---M--	200	added ('OK')	text/css	date:Tue,%2019%20Jan%202021%2007:18:26%20GMT	http://tangfreelancer.com/ae_official/css/all.css	C:/Users/Better.Chou/Documents/web1/web1/tangfreelancer.com/ae_official/css/all.css	(from http://tangfreelancer.com/ae_official/contact-us.html)
17:17:58	23573/23573	---M--	200	added ('OK')	text/html	date:Tue,%2019%20Jan%202021%2006:52:26%20GMT	http://tangfreelancer.com/ae_official/about.html	C:/Users/Better.Chou/Documents/web1/web1/tangfreelancer.com/ae_official/about.html	(from http://tangfreelancer.com/ae_official/contact-us.html)
17:17:58	18654/18654	---M--	200	added ('OK')	text/html	date:Tue,%2019%20Jan%202021%2006:52:27%20GMT	http://tangfreelancer.com/ae_official/product-white-lable.html	C:/Users/Better.Chou/Documents/web1/web1/tangfreelancer.com/ae_official/product-white-lable.html	(from http://tangfreelancer.com/ae_official/contact-us.html)
17:17:59	12619/12619	---M--	200	added ('OK')	text/html	date:Tue,%2019%20Jan%202021%2006:52:26%20GMT	http://tangfreelancer.com/ae_official/brand-timeline.html	C:/Users/Better.Chou/Documents/web1/web1/tangfreelancer.com/ae_official/brand-timeline.html	(from http://tangfreelancer.com/ae_official/contact-us.html)
17:17:59	12677/12677	---M--	200	added ('OK')	text/html	date:Tue,%2019%20Jan%202021%2006:52:26%20GMT	http://tangfreelancer.com/ae_official/business-progress.html	C:/Users/Better.Chou/Documents/web1/web1/tangfreelancer.com/ae_official/business-progress.html	(from http://tangfreelancer.com/ae_official/contact-us.html)
17:18:00	17651/17651	---M--	200	added ('OK')	text/html	date:Tue,%2019%20Jan%202021%2006:52:26%20GMT	http://tangfreelancer.com/ae_official/ae-girls.html	C:/Users/Better.Chou/Documents/web1/web1/tangfreelancer.com/ae_official/ae-girls.html	(from http://tangfreelancer.com/ae_official/contact-us.html)
17:18:01	5029/5029	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Jan%202021%2006:52:28%20GMT	http://tangfreelancer.com/ae_official/images/demo_img/demo_img_auth_code.jpg	C:/Users/Better.Chou/Documents/web1/web1/tangfreelancer.com/ae_official/images/demo_img/demo_img_auth_code.jpg	(from http://tangfreelancer.com/ae_official/contact-us.html)
17:18:03	14243/14243	---M--	200	added ('OK')	application/javascript	date:Tue,%2019%20Jan%202021%2006:53:05%20GMT	http://tangfreelancer.com/ae_official/js/vendor/aos.js	C:/Users/Better.Chou/Documents/web1/web1/tangfreelancer.com/ae_official/js/vendor/aos.js	(from http://tangfreelancer.com/ae_official/contact-us.html)
17:18:04	1058/1058	---M--	200	added ('OK')	application/javascript	date:Tue,%2019%20Jan%202021%2006:53:05%20GMT	http://tangfreelancer.com/ae_official/js/ae-dist.js	C:/Users/Better.Chou/Documents/web1/web1/tangfreelancer.com/ae_official/js/ae-dist.js	(from http://tangfreelancer.com/ae_official/contact-us.html)
17:18:04	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2020%20Jan%202021%2009:18:03%20GMT	http://tangfreelancer.com/ae_official/css/fonts/glyphicons-halflings-regular.eot	C:/Users/Better.Chou/Documents/web1/web1/tangfreelancer.com/ae_official/css/fonts/glyphicons-halflings-regular.11.delayed	(from http://tangfreelancer.com/ae_official/css/vendor/bootstrap.min.css)
17:18:04	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2020%20Jan%202021%2009:18:03%20GMT	http://tangfreelancer.com/ae_official/css/fonts/glyphicons-halflings-regular.eot?	C:/Users/Better.Chou/Documents/web1/web1/tangfreelancer.com/ae_official/css/fonts/glyphicons-halflings-regular.12d41d.delayed	(from http://tangfreelancer.com/ae_official/css/vendor/bootstrap.min.css)
17:18:04	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2020%20Jan%202021%2009:18:04%20GMT	http://tangfreelancer.com/ae_official/css/fonts/glyphicons-halflings-regular.woff2	C:/Users/Better.Chou/Documents/web1/web1/tangfreelancer.com/ae_official/css/fonts/glyphicons-halflings-regular.13.delayed	(from http://tangfreelancer.com/ae_official/css/vendor/bootstrap.min.css)
17:18:05	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2020%20Jan%202021%2009:18:04%20GMT	http://tangfreelancer.com/ae_official/css/fonts/glyphicons-halflings-regular.woff	C:/Users/Better.Chou/Documents/web1/web1/tangfreelancer.com/ae_official/css/fonts/glyphicons-halflings-regular.14.delayed	(from http://tangfreelancer.com/ae_official/css/vendor/bootstrap.min.css)
17:18:05	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2020%20Jan%202021%2009:18:04%20GMT	http://tangfreelancer.com/ae_official/css/fonts/glyphicons-halflings-regular.ttf	C:/Users/Better.Chou/Documents/web1/web1/tangfreelancer.com/ae_official/css/fonts/glyphicons-halflings-regular.15.delayed	(from http://tangfreelancer.com/ae_official/css/vendor/bootstrap.min.css)
17:18:05	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2020%20Jan%202021%2009:18:04%20GMT	http://tangfreelancer.com/ae_official/css/fonts/glyphicons-halflings-regular.svg	C:/Users/Better.Chou/Documents/web1/web1/tangfreelancer.com/ae_official/css/fonts/glyphicons-halflings-regular.16.delayed	(from http://tangfreelancer.com/ae_official/css/vendor/bootstrap.min.css)
17:18:05	36868/36868	---M--	200	added ('OK')	application/javascript	date:Tue,%2019%20Jan%202021%2006:53:05%20GMT	http://tangfreelancer.com/ae_official/js/vendor/bootstrap.min.js	C:/Users/Better.Chou/Documents/web1/web1/tangfreelancer.com/ae_official/js/vendor/bootstrap.min.js	(from http://tangfreelancer.com/ae_official/contact-us.html)
17:18:05	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2020%20Jan%202021%2009:18:05%20GMT	http://tangfreelancer.com/ae_official/images/common/icon_pin_g_md.svg	C:/Users/Better.Chou/Documents/web1/web1/tangfreelancer.com/ae_official/images/common/icon_pin_g_md.17.delayed	(from http://tangfreelancer.com/ae_official/css/all.css)
17:18:06	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2020%20Jan%202021%2009:18:05%20GMT	http://tangfreelancer.com/ae_official/images/common/icon_addToCollection_sm.svg	C:/Users/Better.Chou/Documents/web1/web1/tangfreelancer.com/ae_official/images/common/icon_addToCollection_sm.18.delayed	(from http://tangfreelancer.com/ae_official/css/all.css)
17:18:06	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2020%20Jan%202021%2009:18:05%20GMT	http://tangfreelancer.com/ae_official/images/common/icon_addToCar_sm.svg	C:/Users/Better.Chou/Documents/web1/web1/tangfreelancer.com/ae_official/images/common/icon_addToCar_sm.19.delayed	(from http://tangfreelancer.com/ae_official/css/all.css)
17:18:06	42863/42863	---M--	200	added ('OK')	application/javascript	date:Tue,%2019%20Jan%202021%2006:53:05%20GMT	http://tangfreelancer.com/ae_official/js/vendor/slick.min.js	C:/Users/Better.Chou/Documents/web1/web1/tangfreelancer.com/ae_official/js/vendor/slick.min.js	(from http://tangfreelancer.com/ae_official/contact-us.html)
17:18:06	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2020%20Jan%202021%2009:18:06%20GMT	http://tangfreelancer.com/ae_official/images/common/icon_home_g.svg	C:/Users/Better.Chou/Documents/web1/web1/tangfreelancer.com/ae_official/images/common/icon_home_g.1a.delayed	(from http://tangfreelancer.com/ae_official/css/all.css)
17:18:07	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2020%20Jan%202021%2009:18:06%20GMT	http://tangfreelancer.com/ae_official/images/common/icon_mobile_g.svg	C:/Users/Better.Chou/Documents/web1/web1/tangfreelancer.com/ae_official/images/common/icon_mobile_g.1b.delayed	(from http://tangfreelancer.com/ae_official/css/all.css)
17:18:07	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2020%20Jan%202021%2009:18:06%20GMT	http://tangfreelancer.com/ae_official/images/common/icon_pin_g_sm.svg	C:/Users/Better.Chou/Documents/web1/web1/tangfreelancer.com/ae_official/images/common/icon_pin_g_sm.1c.delayed	(from http://tangfreelancer.com/ae_official/css/all.css)
